starttime	seconds	ctime	dtime	ttime	wait
Sun Feb 26 13:49:39 2017	1488138579	0	1365	1365	1
Sun Feb 26 13:49:42 2017	1488138582	0	1365	1365	1
Sun Feb 26 13:49:42 2017	1488138582	1	1365	1365	0
Sun Feb 26 13:49:37 2017	1488138577	0	1366	1366	1
Sun Feb 26 13:49:41 2017	1488138581	2	1365	1367	1
Sun Feb 26 13:49:32 2017	1488138572	0	1367	1367	1
Sun Feb 26 13:49:42 2017	1488138582	1	1367	1367	1
Sun Feb 26 13:48:52 2017	1488138532	0	1368	1368	1
Sun Feb 26 13:49:46 2017	1488138586	0	1368	1368	1
Sun Feb 26 13:49:38 2017	1488138578	0	1368	1368	1
Sun Feb 26 13:49:38 2017	1488138578	0	1369	1369	2
Sun Feb 26 13:49:38 2017	1488138578	0	1369	1369	2
Sun Feb 26 13:49:50 2017	1488138590	0	1369	1369	1
Sun Feb 26 13:49:40 2017	1488138580	0	1369	1370	0
